area,template,block,source_kind,element_kind,visible_text,target,hx_target,source_file,source_line,flags
_shell,,main,python,python_title,PortfoliFLOW (web),,,web/main.py,397,
_shell,,shell,python,python_label,Front Office,,,web/shell.py,72,
_shell,,shell,python,python_label,Back Office,,,web/shell.py,73,
_shell,,shell,python,python_label,Assistants,,,web/shell.py,74,
_shell,,shell,python,python_label,Planning Desk,,,web/shell.py,79,
_shell,,shell,python,python_label,Investor Communication,,,web/shell.py,84,
_shell,,shell,python,python_label,Watch Desk,,,web/shell.py,91,internal-name
_shell,,shell,python,python_label,Cases,,,web/shell.py,97,
_shell,,shell,python,python_label,Transactions,,,web/shell.py,101,
_shell,,shell,python,python_label,Admin,,,web/shell.py,102,
_shell,,shell,python,python_title,Overview,,,web/shell.py,147,
_shell,,shell,python,python_title,Charts,,,web/shell.py,152,
_shell,,shell,python,python_title,Statistics,,,web/shell.py,153,
_shell,,shell,python,python_title,Portfolio Analysis,,,web/shell.py,154,
_shell,,shell,python,python_title,Briefing,,,web/shell.py,159,
_shell,,shell,python,python_title,Journal,,,web/shell.py,160,
_shell,,shell,python,python_title,Calibration,,,web/shell.py,161,
_shell,,shell,python,python_title,Cash Flow Planning,,,web/shell.py,165,
_shell,,shell,python,python_title,Scenario Analysis,,,web/shell.py,166,
_shell,,shell,python,python_title,Open Cases,,,web/shell.py,172,
_shell,,shell,python,python_title,Recently Closed,,,web/shell.py,173,
_shell,,shell,python,python_title,Archive,,,web/shell.py,174,
_shell,,shell,python,python_title,New transaction,,,web/shell.py,180,
_shell,,shell,python,python_title,Blotter,,,web/shell.py,181,internal-name
_shell,,shell,python,python_title,History,,,web/shell.py,182,
_shell,,shell,python,python_title,Strategic Asset Allocation,,,web/shell.py,185,
_shell,,shell,python,python_title,Benchmarks & Attribution,,,web/shell.py,186,
_shell,,shell,python,python_title,Investment Limits,,,web/shell.py,187,
_shell,,shell,python,python_title,Data Import,,,web/shell.py,190,
_shell,,shell,python,python_title,Market Data,,,web/shell.py,198,
_shell,,shell,python,python_title,Providers & Credentials,,,web/shell.py,201,
_shell,,shell,python,python_title,Users,,,web/shell.py,209,
_shell,,shell,python,python_title,Investments,,,web/shell.py,216,
_shell,,shell,python,python_title,Portfolio Review,,,web/shell.py,218,
_shell,,shell,python,python_title,Shirley,,,web/shell.py,220,internal-name
_shell,,shell,python,python_title,Report Scraper,,,web/shell.py,221,
_shell,,shell,python,python_title,Providers & Credentials,,,web/shell.py,224,
_shell,_partials/chat_empty.html,,template,empty_state,Start a conversation by typing a message below.,,,web/templates/_partials/chat_empty.html,9,
_shell,_partials/command_palette.html,,template,tooltip,Command palette,,,web/templates/_partials/command_palette.html,10,from:aria-label|icon-only
_shell,_partials/command_palette.html,,template,placeholder,"Jump to area, section or action…",,,web/templates/_partials/command_palette.html,12,
_shell,_partials/command_palette.html,,template,tooltip,Search results,,,web/templates/_partials/command_palette.html,17,from:aria-label|icon-only
_shell,_partials/shirley_dock.html,,template,tooltip,Conversation with Shirley,,,web/templates/_partials/shirley_dock.html,36,from:aria-label|internal-name
_shell,_partials/shirley_dock.html,,template,button,"{{ pf_icon(""new"") }}New chat",/chat/new,#chat-history,web/templates/_partials/shirley_dock.html,43,dynamic
